 Concentration,     Distance, Elevation, Flow,Season/Month, Zo sector,      Date,     H0,    U*,     W*, DT/DZ,ZICNV, ZIMCH, M-O LEN,   Z0, BOWEN,ALBEDO, REF WS,    HT,REF TA,    HT
84.825,75,"1,37",70,     Annual,     0-360,10030501,"-9,73","1,84",-9,"0,02",-999,4000,8888,"0,2","0,77","0,24",18,10,303,2
119.65,100,"0,5",60,     Annual,     0-360,10022701,"-5,4","1,022",-9,"0,02",-999,2376,8888,"0,2","0,77","0,24",10,10,303,2
136.07,125,"0,41",260,     Annual,     0-360,10022701,"-5,4","1,022",-9,"0,02",-999,2376,8888,"0,2","0,77","0,24",10,10,303,2
128.69,150,"0,27",320,     Annual,     0-360,10022701,"-5,4","1,022",-9,"0,02",-999,2376,8888,"0,2","0,77","0,24",10,10,303,2
124.09,175,"0,5",80,     Annual,     0-360,10022101,"-3,78","0,715",-9,"0,02",-999,1390,8888,"0,2","0,77","0,24",7,10,303,2
116.23,200,"0,51",90,     Annual,     0-360,10022101,"-3,78","0,715",-9,"0,02",-999,1390,8888,"0,2","0,77","0,24",7,10,303,2
106.17,225,"0,26",100,     Annual,     0-360,10021901,"-38,23","0,705",-9,"0,02",-999,1362,"853,6","0,2","0,77","0,24",7,10,303,2
97.265,250,"3,87",140,     Annual,     0-360,10021901,"-38,23","0,705",-9,"0,02",-999,1362,"853,6","0,2","0,77","0,24",7,10,303,2
90.174,275,"0,41",180,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
85.046,300,"0,25",170,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
79.591,325,"6,49",300,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
74.696,350,"6,61",300,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
70.212,375,"0,45",180,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
66.531,400,"8,16",70,     Annual,     0-360,10021401,"-22,71","0,499",-9,"0,02",-999,810,"508,2","0,2","0,77","0,24",5,10,303,2
63.195,425,"9,58",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
60.01,450,"10,49",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
56.94,475,"11,39",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
54.044,500,"13,05",90,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
51.287,525,"15,44",90,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
48.648,550,"15,41",100,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
46.318,575,18,90,     Annual,     0-360,10020801,"-17,9","0,393",-9,"0,02",-999,567,"315,8","0,2","0,77","0,24",4,10,303,2
45.117,600,"20,56",80,     Annual,     0-360,10020801,"-17,9","0,393",-9,"0,02",-999,567,"315,8","0,2","0,77","0,24",4,10,303,2
43.749,625,"22,51",80,     Annual,     0-360,10020801,"-17,9","0,393",-9,"0,02",-999,567,"315,8","0,2","0,77","0,24",4,10,303,2
42.166,650,"21,98",80,     Annual,     0-360,10020701,"-21,14","0,39",-9,"0,02",-999,560,"260,9","0,2","0,77","0,24",4,10,303,2
40.741,675,"21,71",80,     Annual,     0-360,10020701,"-21,14","0,39",-9,"0,02",-999,560,"260,9","0,2","0,77","0,24",4,10,303,2
39.488,700,"22,74",80,     Annual,     0-360,10020701,"-21,14","0,39",-9,"0,02",-999,560,"260,9","0,2","0,77","0,24",4,10,303,2
52.311,725,"25,37",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
92.432,750,"28,56",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
130.78,775,"31,1",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
175.9,800,"34,19",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
210.23,825,"37,93",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
213.87,835,"39,42",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
207.11,850,"38,52",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
202.74,875,"41,18",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
196.89,900,"38,93",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
193.16,925,"39,86",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
186.93,950,"40,97",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
181.93,975,41,60,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
167.64,1000,"43,38",60,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
143.88,1025,"46,15",60,     Annual,     0-360,10010301,"-8,06","0,102",-9,"0,02",-999,75,"11,1","0,2","0,77","0,24",2,10,273,2
143.46,1050,"34,98",50,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
163.51,1075,"38,79",50,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
156.4,1100,"42,25",50,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
148.66,1125,"37,04",40,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
150.53,1150,"38,18",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
150.28,1175,"40,91",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
140.53,1200,"43,61",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
122.14,1225,"46,35",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
127.11,1250,"35,92",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
130.11,1275,"36,93",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
132.01,1300,"38,06",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
132.43,1325,"39,55",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
129.88,1350,"40,86",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
125.69,1375,"41,94",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
121.47,1400,"43,1",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
114.81,1425,"44,5",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
106.39,1450,"45,88",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
103.93,1475,"46,01",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
104.42,1500,"45,57",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
109.65,1525,"37,42",40,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
111.18,1550,"40,91",40,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
